Бүс,Он,value
421,18,764
421,19,739
421,20,703
421,21,696
421,22,699
421,23,686
421,24,646
421,25,633
422,0,687
422,1,670
422,2,664
422,3,644
422,4,640
422,5,626
422,6,610
422,7,576
422,8,558
422,9,526
422,10,544
422,11,525
422,12,516
422,13,510
422,14,521
422,15,519
422,16,514
422,17,525
422,18,498
422,19,481
422,20,486
422,21,462
422,22,448
422,23,453
422,24,450
422,25,443
423,0,886
423,1,860
423,2,861
423,3,827
423,4,814
423,5,792
423,6,758
423,7,757
423,8,722
423,9,735
423,10,782
423,11,750
423,12,749
423,13,748
423,14,747
423,15,745
423,16,729
423,17,734
423,18,675
423,19,650
423,20,659
423,21,640
423,22,625
423,23,671
423,24,656
423,25,591
5,0,18002
5,1,17061
5,2,16628
5,3,15925
5,4,15245
5,5,14489
5,6,13180
5,7,12051
5,8,11193
5,9,11010
5,10,10456
5,11,10047
5,12,9845
5,13,9521
5,14,9335
5,15,9271
5,16,9126
5,17,8821
5,18,8231
5,19,7776
5,20,7666
5,21,7085
5,22,6788
5,23,6577
5,24,6316
5,25,5958
511,0,18002
511,1,17061
511,2,16628
511,3,15925
511,4,15245
511,5,14489
511,6,13180
511,7,12051
511,8,11193
511,9,11010
511,10,10456
511,11,10047
511,12,9845
511,13,9521
511,14,9335
511,15,9271
511,16,9126
511,17,8821
511,18,8231
511,19,7776
511,20,7666
511,21,7085
511,22,6788
511,23,6577
511,24,6316
511,25,5958
6,0,111
6,1,114
6,2,113
6,3,115
6,4,161
6,5,102
6,6,87
6,7,79
6,8,88
6,9,88
6,10,89
6,11,81
6,12,106
6,13,27
6,14,24
6,15,5
6,16,..
6,17,..
6,18,..
6,19,..
6,20,..
6,21,..
6,22,..
6,23,..
6,24,..
6,25,..
