Бүс,Он,value
2,25,110.5
265,0,19.8
265,1,19.8
265,2,19.8
265,3,19.5
265,4,19.0
265,5,18.7
265,6,18.2
265,7,17.2
265,8,17.3
265,9,17.3
265,10,17.2
265,11,16.7
265,12,17.5
265,13,17.9
265,14,18.8
265,15,19.6
265,16,20.2
265,17,20.6
265,18,20.8
265,19,20.7
265,20,21.3
265,21,20.8
265,22,20.0
265,23,19.6
265,24,19.2
265,25,18.8
264,0,20.0
264,1,19.5
264,2,19.1
264,3,18.7
264,4,18.5
264,5,18.1
264,6,17.5
264,7,16.2
264,8,16.1
264,9,15.7
264,10,15.6
264,11,15.4
264,12,15.2
264,13,15.9
264,14,16.5
264,15,17.2
264,16,18.1
264,17,18.9
264,18,19.5
264,19,19.2
264,20,19.3
264,21,19.6
264,22,19.1
264,23,18.3
264,24,17.7
264,25,17.1
263,0,11.4
263,1,11.5
263,2,11.3
263,3,11.4
263,4,11.3
263,5,11.1
263,6,10.7
263,7,10.0
263,8,9.9
263,9,9.7
263,10,9.4
263,11,9.1
263,12,9.2
263,13,9.4
263,14,9.9
263,15,10.4
263,16,10.7
263,17,11.2
263,18,11.7
263,19,12.0
263,20,12.4
263,21,13.1
263,22,12.8
263,23,12.9
263,24,12.4
263,25,12.4
261,0,27.9
261,1,26.9
261,2,25.8
261,3,24.6
261,4,23.5
261,5,22.6
261,6,21.5
261,7,19.8
261,8,19.1
261,9,18.6
261,10,18.1
261,11,17.0
261,12,16.7
261,13,16.8
261,14,17.5
261,15,18.1
261,16,19.0
261,17,19.7
261,18,20.1
261,19,20.7
261,20,21.5
261,21,22.3
261,22,21.4
261,23,21.2
261,24,21.0
261,25,19.6
262,0,25.7
262,1,25.1
262,2,24.7
262,3,24.4
262,4,23.9
262,5,23.3
262,6,21.6
262,7,21.5
262,8,21.5
262,9,21.2
262,10,21.2
262,11,20.6
262,12,20.8
262,13,21.2
262,14,22.0
262,15,22.8
262,16,23.7
262,17,24.3
262,18,24.3
262,19,24.1
262,20,24.2
262,21,23.7
262,22,21.9
262,23,21.3
262,24,20.2
262,25,19.7
267,0,31.4
267,1,31.3
267,2,30.8
267,3,30.4
267,4,29.7
267,5,29.1
267,6,27.9
267,7,26.3
267,8,26.1
267,9,25.5
267,10,24.8
267,11,24.5
267,12,24.4
267,13,24.7
267,14,25.1
267,15,25.9
267,16,26.2
267,17,26.6
267,18,27.1
267,19,27.3
267,20,27.1
267,21,26.7
267,22,25.8
267,23,25.3
267,24,23.7
267,25,22.9
3,0,120.0
3,1,116.6
3,2,112.4
3,3,109.0
3,4,105.7
3,5,102.4
3,6,98.1
3,7,90.9
3,8,89.1
3,9,87.3
3,10,85.1
3,11,81.3
3,12,80.6
3,13,81.1
3,14,83.2
3,15,84.6
3,16,86.5
3,17,88.5
3,18,91.1
3,19,94.5
3,20,99.4
3,21,99.4
3,22,99.6
3,23,98.7
3,24,96.5
3,25,95.9
342,0,4.6
342,1,4.5
342,2,4.4
342,3,4.3
342,4,4.1
342,5,4.0
342,6,3.8
342,7,3.4
342,8,3.4
342,9,3.3
342,10,3.3
342,11,3.0
342,12,3.0
342,13,3.0
342,14,2.9
342,15,3.0
342,16,3.0
342,17,2.9
342,18,3.0
342,19,3.0
342,20,3.0
342,21,3.0
342,22,3.0
342,23,3.0
342,24,2.9
342,25,3.0
345,0,28.3
345,1,27.2
345,2,25.8
345,3,24.5
345,4,23.5
345,5,22.7
345,6,21.7
345,7,20.0
345,8,19.4
345,9,19.0
345,10,18.6
345,11,17.7
345,12,17.7
345,13,17.9
345,14,18.3
345,15,18.5
345,16,19.1
345,17,19.8
345,18,20.6
345,19,22.1
345,20,23.7
345,21,22.2
345,22,22.0
345,23,21.7
345,24,21.4
345,25,20.9
344,0,16.4
344,1,16.2
344,2,15.8
344,3,15.3
344,4,15.2
344,5,14.6
344,6,14.0
344,7,13.0
344,8,12.7
344,9,12.3
344,10,11.9
344,11,11.3
344,12,11.1
344,13,10.9
344,14,10.9
344,15,11.0
344,16,11.1
344,17,11.2
344,18,11.1
344,19,11.3
344,20,11.5
344,21,11.6
344,22,11.2
344,23,11.0
344,24,10.7
344,25,10.5
348,0,9.2
348,1,9.0
348,2,8.8
348,3,8.7
348,4,8.6
348,5,8.5
348,6,8.4
348,7,8.0
348,8,8.1
348,9,8.1
348,10,7.9
348,11,7.6
348,12,7.6
348,13,7.7
348,14,8.2
348,15,8.4
348,16,8.9
348,17,9.2
348,18,9.5
348,19,9.9
348,20,10.3
348,21,10.4
348,22,10.1
348,23,9.8
348,24,9.7
348,25,9.6
346,0,18.3
346,1,17.4
346,2,16.4
346,3,15.7
346,4,14.9
346,5,14.1
346,6,13.4
346,7,12.1
346,8,11.8
346,9,11.4
346,10,11.0
346,11,10.8
346,12,10.4
346,13,10.4
346,14,10.5
346,15,10.5
346,16,10.5
346,17,10.7
346,18,10.8
346,19,10.7
346,20,10.9
346,21,10.9
346,22,10.3
346,23,10.2
346,24,10.0
346,25,9.7
343,0,22.9
343,1,22.5
343,2,22.1
343,3,22.0
343,4,21.5
343,5,21.2
343,6,20.3
343,7,19.1
343,8,18.9
343,9,18.8
343,10,18.4
343,11,17.6
343,12,17.5
343,13,17.8
343,14,18.5
343,15,18.9
343,16,19.4
343,17,19.7
343,18,20.7
343,19,21.1
343,20,22.4
343,21,22.9
343,22,23.4
343,23,23.6
343,24,23.1
343,25,23.1
341,0,20.3
341,1,19.8
341,2,19.1
341,3,18.6
341,4,18.0
341,5,17.3
341,6,16.5
341,7,15.3
341,8,14.8
341,9,14.4
341,10,14.0
341,11,13.3
341,12,13.3
341,13,13.4
341,14,13.9
341,15,14.3
341,16,14.5
341,17,15.0
341,18,15.4
341,19,16.4
341,20,17.6
341,21,18.4
341,22,19.6
341,23,19.4
341,24,18.7
341,25,19.1
4,0,53.2
4,1,52.3
4,2,51.1
4,3,49.7
4,4,48.1
4,5,46.1
4,6,44.1
4,7,41.3
4,8,40.4
4,9,38.9
4,10,38.0
4,11,36.8
4,12,36.2
4,13,36.6
4,14,37.7
4,15,38.6
4,16,39.8
4,17,41.1
4,18,41.8
4,19,42.3
4,20,45.9
4,21,46.4
4,22,43.8
4,23,43.5
4,24,42.5
4,25,42.0
421,0,20.8
421,1,20.3
421,2,19.7
421,3,19.0
421,4,18.2
421,5,17.4
421,6,16.6
421,7,15.4
421,8,14.9
421,9,14.3
421,10,13.9
421,11,13.4
421,12,13.1
421,13,13.3
421,14,13.6
421,15,14.0
421,16,14.3
421,17,15.0
421,18,15.7
421,19,16.3
421,20,16.6
421,21,17.3
421,22,16.9
421,23,17.2
421,24,16.9
421,25,16.6
422,0,14.8
422,1,14.5
422,2,14.2
422,3,13.8
422,4,13.4
422,5,12.9
422,6,12.3
422,7,11.6
422,8,11.2
422,9,10.7
422,10,10.4
422,11,10.0
422,12,9.8
422,13,10.0
422,14,10.3
422,15,10.4
422,16,10.7
422,17,11.1
422,18,11.3
422,19,11.4
422,20,12.9
422,21,12.8
422,22,11.6
422,23,11.5
422,24,11.1
422,25,11.0
423,0,17.7
423,1,17.5
423,2,17.2
423,3,17.0
423,4,16.5
423,5,15.8
423,6,15.2
423,7,14.4
423,8,14.2
423,9,13.9
423,10,13.7
423,11,13.4
423,12,13.3
423,13,13.3
423,14,13.8
423,15,14.2
423,16,14.8
423,17,15.0
423,18,14.8
423,19,14.6
423,20,16.4
423,21,16.3
423,22,15.3
423,23,14.8
423,24,14.5
423,25,14.4
5,0,411.3
5,1,397.3
5,2,380.7
5,3,363.4
5,4,338.4
5,5,316.9
5,6,291.5
5,7,263.4
5,8,247.2
5,9,232.8
5,10,220.6
5,11,201.9
5,12,192.3
5,13,186.8
5,14,186.7
5,15,184.6
5,16,184.3
5,17,185.0
5,18,184.3
5,19,185.2
5,20,186.2
5,21,185.6
5,22,180.0
5,23,176.0
5,24,169.5
5,25,162.5
511,0,411.3
511,1,397.3
511,2,380.7
511,3,363.4
511,4,338.4
511,5,316.9
511,6,291.5
511,7,263.4
511,8,247.2
511,9,232.8
511,10,220.6
511,11,201.9
511,12,192.3
511,13,186.8
511,14,186.7
511,15,184.6
511,16,184.3
511,17,185.0
511,18,184.3
511,19,185.2
511,20,186.2
511,21,185.6
511,22,180.0
511,23,176.0
511,24,169.5
511,25,162.5
6,0,1.4
6,1,1.4
6,2,1.4
6,3,1.4
6,4,1.9
6,5,1.3
6,6,1.2
6,7,1.1
6,8,1.1
6,9,1.0
6,10,0.9
6,11,0.8
6,12,1.0
6,13,0.5
6,14,0.1
6,15,0.1
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,0.0
